16:37:20.772 [32m[main][0;39m [34mINFO[0;39m org.openlca.core.database.Derby - initialize database folder C:\Users\KETI\openLCA-data-1.4\databases\test1012, create=false
Climate change - Fossil;0.00586;kg CO2 eq
Aquatic eutrophication EP(P);0.00000;kg P
Global warming 100a;0.00581;kg CO2 eq
Hazardous waste;0.00000;kg
Human toxicity soil;0.00022;m3
Human toxicity air;0.04228;person
Acidification;0.00013;m2
Radioactive waste;0.00000;kg
Ozone formation (Human);0.00000;person.ppm.h
Ozone depletion;0.00000;kg CFC11 eq
Aquatic eutrophication EP(N);0.00000;kg N
Bulk waste;0.20464;kg
Ecotoxicity soil chronic;0.00251;m3
Resources (all);0.00000;PR2004
Ecotoxicity water acute;0.00101;m3
Ozone formation (Vegetation);0.03624;m2.ppm.h
Slags/ashes;0.00000;kg
Human toxicity water;0.00012;m3
Terrestrial eutrophication;0.00036;m2
Ecotoxicity water chronic;0.00792;m3
linear, land occupation;0.00000;points
linear, land transformation;0.00000;points
Natural resources (water only);0.00000;UBP
Non renewable, primary;0.00000;MJ
Renewable, potential;0.00000;MJ
Non renewable, minerals;0.00000;MJ
Renewable, water;0.00001;MJ
Non renewable, fossil;0.01183;MJ
Non renewable, metals;0.00000;MJ
Renewable, solar;0.00000;MJ
Non renewable, nuclear;0.08057;MJ
Renewable, kinetic;0.00000;MJ
Renewable , biomass;0.00000;MJ
Renewable, biomass;0.00000;MJ
Non-renewable, biomass;0.00000;MJ
Non renewable, fossil;0.01099;MJ
Renewable, wind, solar, geothe;0.00000;MJ
Non-renewable, nuclear;0.08057;MJ
Renewable, water;0.00000;MJ
Renewable, water;0.00000;MJ
Renewable, wind, solar, geothe;0.00000;MJ
Non-renewable, biomass;0.00000;MJ
Non renewable, fossil;0.01165;MJ
Renewable, biomass;0.00000;MJ
Non-renewable, nuclear;0.08057;MJ
WDI;0.00000;m3
Acidification;0.56388;H+ mmole eq
Ozone depletion;0.00000;g CFC-11 eq
Ecotoxicity;0.00107;g 2,4-D eq
Global warming;5.79976;g CO2 eq
Smog;0.02873;g NOx eq
Indoor air quality;0.00000;g TVOC eq
HH cancer;0.00013;g C6H6 eq
Habitat alteration;0.00000;T&E count
Eutrophication;0.00063;g N eq
Water intake;0.00000;liters
Natural resource depletion;0.00256;MJ surplus
HH noncancer;0.01418;g C7H7 eq
HH criteria air pollutants;0.00003;microDALYs
Eutrophication (incl. fate);0.00002;kg PO4--- eq
Freshwater aquatic ecotox. 500a;0.00000;kg 1,4-DB eq
Photochem. oxid. (incl. NMVOC av.);0.00000;kg C2H4 eq
Human toxicity 20a;0.00002;kg 1,4-DB eq
Photochemical oxidation (MOIR, high NOx);0.00000;kg C2H4 eq
Terrestrial ecotoxicity 100a;0.00000;kg 1,4-DB eq
Marine aquatic ecotox. 20a;0.00000;kg 1,4-DB eq
Global warming 20a;0.00605;kg CO2 eq
Human toxicity 100a;0.00002;kg 1,4-DB eq
Human tox. (incl. PAH, Xylene & NMVOC av;0.00017;kg 1,4-DB eq
Ozone layer depletion 25a;0.00000;kg CFC-11 eq
Mar. aq. ecotox. (PAH, Xylene & NMVOC av;2.20763;kg 1,4-DB eq
Ozone layer depletion 40a;0.00000;kg CFC-11 eq
Global warming 500a;0.00000;kg CO2 eq
Ozone layer depletion 15a;0.00000;kg CFC-11 eq
Ozone layer depletion (incl. NMVOC av.);0.00000;kg CFC-11 eq
Photochemical oxidation (low NOx);0.00000;kg C2H4 eq
Photochem. oxid. (incl. NOx & NMVOC av.);-0.00000;kg C2H4 eq
Terr. ecotox. (PAH, Xylene & NMVOC av.);0.00000;kg 1,4-DB eq
Terrestrial ecotoxicity 20a;0.00000;kg 1,4-DB eq
Freshwater sediment ecotox. infinite;0.00000;kg 1,4-DB eq
Marine aquatic ecotox. 100a;0.00001;kg 1,4-DB eq
Freshwater sediment ecotox. 20a;0.00000;kg 1,4-DB eq
Lower limit of net global warming;0.00587;kg CO2 eq
Marine sediment ecotox. 20a;0.00000;kg 1,4-DB eq
Freshwater sediment ecotox. 500a;0.00000;kg 1,4-DB eq
Human toxicity 500a;0.00002;kg 1,4-DB eq
Marine sediment ecotox. 100a;0.00001;kg 1,4-DB eq
Ionising radiation;0.00000;DALYs
Ozone layer depletion 30a;0.00000;kg CFC-11 eq
Ozone layer depletion 5a;0.00000;kg CFC-11 eq
Freshwater sediment ecotox. 100a;0.00000;kg 1,4-DB eq
Marine sediment ecotox. infinite;0.72709;kg 1,4-DB eq
Abiotic depletion (elem., reserve base);0.00000;kg Sb eq
Land competition;0.00000;m2a
Photochemical oxidation (EBIR, low NOx);0.00000;kg C2H4 eq
Marine sediment ecotox. 500a;0.00002;kg 1,4-DB eq
Upper limit of net global warming;0.00587;kg CO2 eq
Fw. aq. ecot.  (PAH, Xylene & NMVOC av.);0.00000;kg 1,4-DB eq
Ozone layer depletion 20a;0.00000;kg CFC-11 eq
Photochem. oxid. (MIR, very high NOx);0.00000;kg C2H4 eq
Terrestrial ecotoxicity 500a;0.00000;kg 1,4-DB eq
